RegionID,SizeRank,RegionName,RegionType,StateName,BaseDate,2022-04-30,2022-06-30,2023-03-31
394325,410,"Ames, IA",Msa,IA,2022-03-31,1.5,4.5,7.2
394407,411,"Bozeman, MT",Msa,MT,2022-03-31,2.3,7.5,15.2
394882,412,"Moses Lake, WA",Msa,WA,2022-03-31,2.3,6.7,16.0
394704,413,"Indiana, PA",Msa,PA,2022-03-31,1.5,4.4,8.5
394568,414,"Elmira, NY",Msa,NY,2022-03-31,1.8,3.5,11.0
394847,415,"Meadville, PA",Msa,PA,2022-03-31,1.7,4.9,8.9
394373,416,"Beaver Dam, WI",Msa,WI,2022-03-31,2.1,6.1,12.8
753912,417,"Pinehurst-Southern Pines, NC",Msa,NC,2022-03-31,2.8,8.6,17.7
395175,418,"Ukiah, CA",Msa,CA,2022-03-31,1.7,4.8,9.2
753887,419,"Hermiston-Pendleton, OR",Msa,OR,2022-03-31,1.7,4.7,12.8
394809,420,"Lufkin, TX",Msa,TX,2022-03-31,1.7,4.5,9.9
395248,421,"Zanesville, OH",Msa,OH,2022-03-31,2.2,6.6,13.9
394505,422,"Corvallis, OR",Msa,OR,2022-03-31,2.0,6.5,13.1
394395,423,"Bloomsburg, PA",Msa,PA,2022-03-31,1.1,3.7,8.0
394776,424,"Laurel, MS",Msa,MS,2022-03-31,1.5,4.5,8.1
395042,425,"Russellville, AR",Msa,AR,2022-03-31,2.0,3.9,9.5
394411,426,"Branson, MO",Msa,MO,2022-03-31,2.7,7.8,15.8
395212,427,"Watertown, WI",Msa,WI,2022-03-31,2.0,5.6,11.2
394859,428,"Midland, MI",Msa,MI,2022-03-31,1.9,6.0,12.9
394941,429,"Opelousas, LA",Msa,LA,2022-03-31,1.5,4.2,8.9
394988,430,"Pocatello, ID",Msa,ID,2022-03-31,2.7,7.3,18.1
394755,431,"Kokomo, IN",Msa,IN,2022-03-31,1.9,5.5,11.6
394641,432,"Grants Pass, OR",Msa,OR,2022-03-31,1.9,5.6,12.2
394699,433,"Huntsville, TX",Msa,TX,2022-03-31,1.8,5.2,11.0
394986,434,"Plattsburgh, NY",Msa,NY,2022-03-31,1.6,4.6,9.5
394638,435,"Grand Island, NE",Msa,NE,2022-03-31,1.7,4.8,9.9
394541,436,"DuBois, PA",Msa,PA,2022-03-31,1.5,4.3,8.2
394516,437,"Danville, IL",Msa,IL,2022-03-31,1.5,4.3,7.3
